iter	Passed	Remaining
452	1035	3534
453	1037	3531
454	1039	3528
455	1041	3525
456	1043	3522
457	1045	3519
458	1047	3515
459	1049	3512
460	1051	3509
461	1053	3506
462	1055	3503
463	1057	3500
464	1059	3497
465	1061	3494
466	1063	3490
467	1065	3487
468	1067	3484
469	1069	3481
470	1071	3478
471	1073	3474
472	1075	3471
473	1077	3468
474	1079	3465
475	1081	3462
476	1083	3459
477	1085	3455
478	1087	3452
479	1089	3449
480	1091	3446
481	1093	3443
482	1095	3440
483	1097	3437
484	1099	3434
485	1101	3430
486	1103	3428
487	1105	3425
488	1107	3422
489	1109	3419
490	1111	3416
491	1113	3413
492	1115	3410
493	1117	3407
494	1119	3404
495	1121	3402
496	1123	3398
497	1125	3395
498	1127	3392
499	1129	3389
500	1131	3386
501	1133	3383
502	1135	3380
503	1137	3377
504	1139	3374
505	1142	3371
506	1143	3368
507	1145	3365
508	1147	3362
509	1149	3359
510	1151	3356
511	1154	3353
512	1156	3351
513	1158	3348
514	1160	3345
515	1162	3342
516	1164	3339
517	1166	3336
518	1168	3333
519	1170	3330
520	1172	3328
521	1174	3325
522	1176	3322
523	1178	3319
524	1180	3316
525	1182	3314
526	1184	3311
527	1186	3308
528	1188	3305
529	1190	3302
530	1192	3299
531	1194	3297
532	1196	3293
533	1198	3290
534	1200	3288
535	1202	3285
536	1204	3282
537	1206	3279
538	1208	3277
539	1211	3274
540	1213	3271
541	1215	3268
542	1217	3265
543	1219	3262
544	1221	3260
545	1223	3257
546	1225	3254
547	1227	3251
548	1229	3249
549	1231	3246
550	1233	3243
551	1235	3241
552	1237	3238
553	1239	3235
554	1241	3232
555	1243	3230
556	1246	3228
557	1248	3226
558	1251	3225
559	1253	3224
560	1256	3222
561	1258	3221
562	1261	3219
563	1263	3216
564	1265	3214
565	1267	3211
566	1270	3210
567	1272	3208
568	1275	3206
569	1277	3205
570	1280	3203
571	1282	3202
572	1285	3200
573	1287	3198
574	1289	3196
575	1291	3193
576	1293	3191
577	1296	3188
578	1298	3185
579	1300	3183
580	1302	3180
581	1304	3177
582	1306	3174
583	1308	3172
584	1310	3169
585	1312	3166
586	1314	3163
587	1316	3160
588	1318	3158
589	1320	3155
590	1322	3152
591	1324	3150
592	1326	3147
593	1328	3144
594	1330	3141
595	1332	3139
596	1334	3136
597	1336	3133
598	1338	3131
599	1340	3128
600	1342	3125
601	1344	3122
602	1346	3120
603	1348	3117
604	1350	3114
605	1352	3112
606	1354	3109
607	1356	3106
608	1359	3104
609	1361	3101
610	1363	3098
611	1365	3096
612	1367	3093
613	1369	3090
614	1371	3088
615	1373	3085
616	1375	3082
617	1377	3079
618	1379	3076
619	1381	3074
620	1383	3071
621	1385	3068
622	1387	3066
623	1389	3063
624	1391	3060
625	1393	3057
626	1395	3055
627	1397	3052
628	1399	3049
629	1401	3047
630	1403	3044
631	1405	3042
632	1407	3039
633	1409	3036
634	1411	3034
635	1413	3031
636	1415	3028
637	1418	3027
638	1420	3025
639	1423	3024
640	1425	3022
641	1428	3021
642	1430	3019
643	1433	3017
644	1435	3015
645	1438	3014
646	1440	3012
647	1442	3010
648	1445	3008
649	1447	3006
650	1450	3006
651	1453	3004
