iter	Logloss
0	0.6795580514
1	0.6664838496
2	0.6561951133
3	0.6466738095
4	0.638310209
5	0.6296469779
6	0.6201923693
7	0.6117985627
8	0.6051124039
9	0.5979999376
10	0.5932469917
11	0.5878947201
12	0.5837164645
13	0.5776915377
14	0.5733051446
15	0.5699255392
16	0.5662428207
17	0.5632382148
18	0.5601174407
19	0.5567357539
20	0.5534167367
21	0.5494976577
22	0.5466367601
23	0.5441351578
24	0.5411838056
25	0.5382961448
26	0.5355139288
27	0.5323771289
28	0.530559497
29	0.5280496178
30	0.5257093982
31	0.5243195826
32	0.5233457813
33	0.5215697694
34	0.5195547148
35	0.5180274283
36	0.5165209138
37	0.5143620483
38	0.5127284894
39	0.5113616513
40	0.5099498634
41	0.5086437731
42	0.5073262159
43	0.5064120381
44	0.5049596979
45	0.5038272644
46	0.5024725899
47	0.5014544599
48	0.5000708343
49	0.4985388267
50	0.4968177416
51	0.4956348424
52	0.4945620122
53	0.4935817421
54	0.4926652606
55	0.4913092591
56	0.4905840474
57	0.4897720973
58	0.4890413484
59	0.4879190143
60	0.4872123956
61	0.4862511982
62	0.484945976
63	0.4837724609
64	0.4827944169
65	0.482109932
66	0.4812344592
67	0.4804444242
68	0.4794128634
69	0.4786263106
70	0.4776074783
71	0.4767814668
72	0.4759077167
73	0.475010465
74	0.4743414826
75	0.4734326789
76	0.4726315481
77	0.4717342472
78	0.4713344533
79	0.470641932
80	0.4696611079
81	0.4688569031
82	0.4680593211
83	0.467382981
84	0.4667276178
85	0.4661000759
86	0.4651957189
87	0.4644586404
88	0.4637771319
89	0.4627230181
90	0.4618593013
91	0.4609907173
92	0.4604164414
93	0.4599413558
94	0.4590920874
95	0.4581337826
96	0.4576277153
97	0.4569709312
98	0.4561836228
99	0.4555046177
100	0.4549055491
101	0.4545009794
102	0.4540743879
103	0.4536945198
104	0.4528865846
105	0.452362241
106	0.4518581205
107	0.4513566826
108	0.4508274598
109	0.4501144803
110	0.4496735961
111	0.4489428247
112	0.4487791602
113	0.4480153048
114	0.4472726223
